name,code,symbolCode,tradePrice,change,changePrice,changeRate,accTradeVolume,accTradePrice,marketCap,foreignRatio
마이크로프랜드,KR7147760003,A147760,8770.0,FALL,50.0,-0.0056689342,11180,97413200,94890224820.0,3.710
하나기술,KR7299030007,A299030,69600.0,FALL,400.0,-0.0057142857,79661,5507573000,516766219200.0,0.260
비피도,KR7238200000,A238200,17300.0,FALL,100.0,-0.0057471264,35021,602428550,141514000000.0,2.700
다믈멀티미디어,KR7093640001,A093640,3430.0,FALL,20.0,-0.0057971014,54764,188068655,45073204680.0,0.000
야스,KR7255440000,A255440,17150.0,FALL,100.0,-0.0057971014,18136,308794150,223944700000.0,0.980
테크윙,KR7089030001,A089030,25700.0,FALL,150.0,-0.0058027079,65246,1667736900,498281057600.0,2.960
한탑,KR7002680007,A002680,1710.0,FALL,10.0,-0.0058139535,111713,190240415,48341679480.0,4.170
토박스코리아,KR7215480005,A215480,1710.0,FALL,10.0,-0.0058139535,749555,1250111650,82207889190.0,12.940
테스나,KR7131970006,A131970,51100.0,FALL,300.0,-0.0058365759,118587,5991993100,754214384700.0,7.700
일지테크,KR7019540004,A019540,5050.0,FALL,30.0,-0.0059055118,93236,464201405,68243175000.0,4.490
이엘피,KR7063760003,A063760,6660.0,FALL,40.0,-0.0059701493,24287,162292220,62105365800.0,3.190
그린플러스,KR7186230009,A186230,16650.0,FALL,100.0,-0.0059701493,53626,888925350,180156130200.0,0.430
미코바이오메드,KR7214610008,A214610,16600.0,FALL,100.0,-0.005988024,47431,792774600,303523812200.0,0.000
케이엔제이,KR7272110008,A272110,16500.0,FALL,100.0,-0.0060240964,8016,130764250,121817982000.0,0.740
삼륭물산,KR7014970008,A014970,8240.0,FALL,50.0,-0.0060313631,17426,142468810,124630000000.0,0.660
인지디스플레,KR7037330008,A037330,3270.0,FALL,20.0,-0.0060790274,48975,159634540,143504682480.0,4.750
유신,KR7054930003,A054930,24050.0,FALL,150.0,-0.0061983471,7897,188359300,72150000000.0,5.130
미래컴퍼니,KR7049950009,A049950,32000.0,FALL,200.0,-0.0062111801,15410,491315350,267593792000.0,2.370
미투온,KR7201490000,A201490,6390.0,FALL,40.0,-0.0062208398,58827,373728410,199737150300.0,4.020
코엔텍,KR7029960002,A029960,9580.0,FALL,60.0,-0.0062240664,69319,663192070,479000000000.0,10.500
아나패스,KR7123860009,A123860,23550.0,FALL,150.0,-0.0063291139,8569,201671250,266789307150.0,0.600
뉴파워프라즈마,KR7144960002,A144960,6270.0,FALL,40.0,-0.0063391442,77389,484605380,273952752480.0,2.950
유니크,KR7011320009,A011320,7780.0,FALL,50.0,-0.006385696,58521,452855380,150315007100.0,1.710
에이치엘사이언스,KR7239610009,A239610,38850.0,FALL,250.0,-0.0063938619,2010,78254750,209483667750.0,0.730
SCI평가정보,KR7036120004,A036120,3880.0,FALL,25.0,-0.0064020487,21898,84264220,137740000000.0,3.160
윈팩,KR7097800007,A097800,2325.0,FALL,15.0,-0.0064102564,171804,396521070,99074680950.0,2.570
레인보우로보틱스,KR7277810008,A277810,23000.0,FALL,150.0,-0.0064794816,20966,479210900,371109922000.0,2.650
원방테크,KR7053080008,A053080,45800.0,FALL,300.0,-0.0065075922,6790,310171850,196671749400.0,0.220
압타머사이언스,KR7291650000,A291650,22900.0,FALL,150.0,-0.0065075922,20645,470811550,193874285400.0,0.320
오리콤,KR7010470003,A010470,9100.0,FALL,60.0,-0.0065502183,76946,706833640,107789955000.0,0.570
어보브반도체,KR7102120003,A102120,15150.0,FALL,100.0,-0.006557377,66359,998529400,264513742950.0,1.210
아미노로직스,KR7074430000,A074430,3015.0,FALL,20.0,-0.0065897858,309969,933562780,264797934660.0,1.020
다나와,KR7119860005,A119860,30100.0,FALL,200.0,-0.0066006601,15799,473440950,393552142200.0,13.380
HB솔루션,KR7297890006,A297890,22550.0,FALL,150.0,-0.0066079295,283871,6163549400,366863334200.0,1.140
에스코넥,KR7096630009,A096630,2250.0,FALL,15.0,-0.0066225166,368892,820030250,148877997750.0,1.260
비즈니스온,KR7138580006,A138580,22400.0,FALL,150.0,-0.0066518847,1938,43224350,254832256000.0,8.320
지놈앤컴퍼니,KR7314130006,A314130,37300.0,FALL,250.0,-0.0066577896,13531,501956650,501590444500.0,0.480
탑엔지니어링,KR7065130007,A065130,8930.0,FALL,60.0,-0.0066740823,23546,209631140,142667975010.0,4.920
메디포스트,KR7078160009,A078160,29700.0,FALL,200.0,-0.0066889632,35022,1035531400,483046561800.0,12.210
와이지-원,KR7019210004,A019210,8870.0,FALL,60.0,-0.006718925,195275,1690461520,271189774530.0,10.230
DMS,KR7068790005,A068790,7370.0,FALL,50.0,-0.0067385445,72800,534365330,181103459570.0,2.740
위드텍,KR7348350000,A348350,22000.0,FALL,150.0,-0.006772009,5209,113576450,224039200000.0,0.110
대명소노시즌,KR7007720006,A007720,1465.0,FALL,10.0,-0.006779661,246964,360263615,147672659250.0,2.580
ES큐브,KR7050120005,A050120,5860.0,FALL,40.0,-0.006779661,43626,253869340,79485543960.0,4.330
케이비17호스팩,KR7317030005,A317030,2195.0,FALL,15.0,-0.0067873303,5347,11753265,11986895000.0,0.010
케이비제19호스팩,KR7330990003,A330990,2195.0,FALL,15.0,-0.0067873303,1421,3137115,9440695000.0,0.000
